--
--               ORNL 421-group energy structure for NJOY input
--
        421
 1.000000-5 1.000000-4 5.000000-4 7.500000-4 1.000000-3 1.200000-3
 1.659587+5 1.737801+5 1.819701+5 1.905461+5 2.000000+5 2.089296+5
 2.187762+5 2.290868+5 2.398833+5 2.511886+5 2.630268+5 2.700000+5
 2.754229+5 2.884032+5 3.019952+5 3.162278+5 3.300000+5 3.467369+5
 3.630781+5 3.801894+5 3.981072+5 4.000000+5 4.168694+5 4.200000+5
 4.365158+5 4.400000+5 4.570882+5 4.700000+5 4.786301+5 4.995200+5
 5.011872+5 5.248075+5 5.495409+5 5.500000+5 5.730000+5 5.754399+5
 6.000000+5 6.025596+5 6.309573+5 6.606934+5 6.700000+5 6.790000+5
 6.918310+5 7.244360+5 7.500000+5 7.943282+5 8.200000+5 8.317638+5
 8.611000+5 8.709636+5 8.750000+5 9.000000+5 9.120108+5 9.200000+5
 9.549926+5 1.000000+6 1.010000+6 1.047129+6 1.096478+6 1.100000+6
 1.200000+6 1.250000+6 1.317000+6 1.356000+6 1.380384+6 1.400000+6
 1.445440+6 1.500000+6 1.513561+6 1.584893+6 1.659587+6 1.737801+6
 1.819701+6 1.850000+6 1.905461+6 1.995262+6 2.089296+6 2.187762+6
 2.290868+6 2.354000+6 2.398833+6 2.479000+6 2.511886+6 2.630268+6
 2.754229+6 2.884032+6 3.000000+6 3.162278+6 3.311311+6 3.467369+6
 3.630781+6 3.801894+6 3.981072+6 4.168694+6 4.304000+6 4.365158+6
 4.570882+6 4.800000+6 5.011872+6 5.248075+6 5.495409+6 5.754399+6
 6.025596+6 6.309573+6 6.434000+6 6.606934+6 6.918310+6 7.244360+6
 7.585776+6 7.943282+6 8.187300+6 8.317638+6 8.709636+6 9.120108+6
 9.549926+6 1.000000+7 1.284000+7 1.384000+7 1.455000+7 1.568300+7
 1.733300+7 2.000000+7
