NO-PN-IMPORT derivations/test_atkinson_product_nystrom.py | solve: [] | other: [] | reg: []
NYSTROM-SOLVE derivations/test_peierls_closure_operator.py | solve: ['BoundaryClosureOperator', 'build_closure_operator', 'build_white_bc_correction', 'build_white_bc_correction_rank_n'] | other: ['CYLINDER_1D', 'SPHERE_1D', 'composite_gl_r', 'reflection_mark', 'reflection_marshak', 'reflection_specular', 'reflection_vacuum'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_convergence.py | solve: ['solve_peierls_eigenvalue'] | other: [] | reg: []
NYSTROM-SOLVE derivations/test_peierls_cylinder_eigenvalue.py | solve: ['solve_peierls_1g'] | other: ['CYLINDER_1D'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_cylinder_multi_region.py | solve: ['build_volume_kernel'] | other: ['GEOMETRY', 'composite_gl_r', 'lagrange_basis_on_panels'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_cylinder_prefactor.py | solve: ['build_volume_kernel'] | other: ['GEOMETRY', 'composite_gl_r'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_cylinder_white_bc.py | solve: ['solve_peierls_1g', 'solve_peierls_mg'] | other: ['CYLINDER_1D', 'GEOMETRY', 'compute_G_bc', 'compute_P_esc'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_fission_source_indexing.py | solve: ['solve_peierls_mg'] | other: ['CYLINDER_1D', 'SPHERE_1D'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_greens_function_slab_solver.py | solve: ['solve_peierls_eigenvalue'] | other: ['compute_T_specular_slab'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_greens_function_xverif.py | solve: ['solve_peierls_1g'] | other: ['SPHERE_1D', 'compute_P_ss_sphere', 'compute_T_specular_sphere'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_greens_function_xverif_ps1982.py | solve: ['solve_ps1982_vacuum_sphere'] | other: [] | reg: []
NYSTROM-SOLVE derivations/test_peierls_multigroup.py | solve: ['PeierlsSolution', '_build_peierls_cylinder_hollow_f4_case', '_build_peierls_slab_case_via_unified', '_build_peierls_sphere_hollow_f4_case', 'solve_peierls_1g', 'solve_peierls_eigenvalue', 'solve_peierls_mg'] | other: ['CYLINDER_1D', 'CurvilinearGeometry', 'SLAB_POLAR_1D', 'SPHERE_1D', '_SLAB_VIA_UNIFIED', 'composite_gl_r', 'compute_G_bc_inner', 'compute_G_bc_outer', 'compute_P_esc_inner', 'compute_P_esc_outer'] | reg: ['peierls_cyl1D_hollow_', 'peierls_slab_1eg_1rg', 'peierls_slab_2eg_2rg']
NYSTROM-SOLVE derivations/test_peierls_nystrom_verification.py | solve: ['K_vol_element_adaptive', 'build_volume_kernel'] | other: ['CYLINDER_1D', 'SLAB_POLAR_1D', 'SPHERE_1D', 'composite_gl_r'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_rank2_bc.py | solve: ['build_closure_operator', 'build_volume_kernel', 'solve_peierls_1g', 'solve_peierls_eigenvalue'] | other: ['CYLINDER_1D', 'CurvilinearGeometry', 'SLAB_POLAR_1D', 'SPHERE_1D', 'composite_gl_r', 'compute_G_bc_inner', 'compute_G_bc_inner_mode', 'compute_G_bc_inner_mode_marshak', 'compute_G_bc_outer', 'compute_G_bc_outer_mode', 'compute_G_bc_outer_mode_marshak', 'compute_P_esc_inner', 'compute_P_esc_inner_mode', 'compute_P_esc_inner_mode_marshak', 'compute_P_esc_outer', 'compute_P_esc_outer_mode', 'compute_P_esc_outer_mode_marshak', 'compute_hollow_cyl_transmission', 'compute_hollow_sph_transmission', 'compute_hollow_sph_transmission_rank_n', 'compute_slab_transmission', 'reflection_white_rank2'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_rank_n_bc.py | solve: ['build_white_bc_correction', 'build_white_bc_correction_rank_n', 'solve_peierls_1g'] | other: [':class:`ImportError`', 'CYLINDER_1D', 'SPHERE_1D', '_cylinder_mode_partial_current_2d_quadrature', '_cylinder_mode_partial_current_polynomial', 'composite_gl_r', 'gl_float', 'time', 'until', 'with'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_rank_n_class_b_mr_mg.py | solve: ['solve_peierls_mg'] | other: ['CYLINDER_1D', 'SLAB_POLAR_1D', 'SPHERE_1D'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_rank_n_conservation.py | solve: ['build_volume_kernel', 'build_white_bc_correction', 'build_white_bc_correction_rank_n'] | other: ['CYLINDER_1D', 'SPHERE_1D', 'composite_gl_r'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_reference.py | solve: ['K_vol_element_adaptive', '_build_kernel_matrix', 'build_closure_operator', 'build_volume_kernel', 'build_volume_kernel_adaptive', 'build_white_bc_correction_rank_n'] | other: ['CYLINDER_1D', 'CurvilinearGeometry', 'SLAB_POLAR_1D', 'SPHERE_1D', 'composite_gl_r', 'compute_G_bc', 'compute_G_bc_inner', 'compute_G_bc_mode', 'compute_G_bc_outer', 'compute_P_esc', 'compute_P_esc_inner', 'compute_P_esc_mode', 'compute_P_esc_outer', 'cylinder_uniform_source_analytical', 'gl_nodes_weights', 'lagrange_basis_on_panels', 'map_gl_to', 'reflection_mark', 'slab_K_vol_element', 'slab_uniform_source_analytical', 'slab_uniform_source_white_bc_analytical', 'sphere_uniform_source_analytical'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_reference_naming.py | solve: ['build_two_surface_case'] | other: ['SHAPE_TAGS', 'SHIPPED_CLASS_A', 'ShippedReference', 'reference_name'] | reg: ['peierls_sph1D_hollow_2eg_1rg_r0_25']
NYSTROM-SOLVE derivations/test_peierls_specular_bc.py | solve: ['_build_full_K_per_group', 'build_volume_kernel', 'solve_peierls_1g', 'solve_peierls_mg'] | other: ['CYLINDER_1D', 'SLAB_POLAR_1D', 'SPHERE_1D', '_slab_E_n', '_slab_tau_to_inner_face', '_slab_tau_to_outer_face', 'composite_gl_r', 'compute_T_specular_slab'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_sphere_eigenvalue.py | solve: ['solve_peierls_1g'] | other: ['SPHERE_1D'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_sphere_prefactor.py | solve: ['build_volume_kernel', 'build_white_bc_correction'] | other: ['GEOMETRY', 'composite_gl_r', 'compute_G_bc'] | reg: []
NYSTROM-SOLVE derivations/test_peierls_sphere_white_bc.py | solve: ['solve_peierls_1g'] | other: ['SPHERE_1D'] | reg: []
PN-PRIMITIVE-ONLY cp/test_cylinder_pss.py | solve: [] | other: ['compute_P_ss_cylinder'] | reg: []
PN-PRIMITIVE-ONLY cp/test_peierls_rank_n_protocol.py | solve: [] | other: ['(', 'as', 'json', 'np', 'numpy', 'sys', 'time'] | reg: []
PN-PRIMITIVE-ONLY cp/test_sphere_pss.py | solve: [] | other: ['compute_P_ss_sphere'] | reg: []
PN-PRIMITIVE-ONLY derivations/test_peierls_cylinder_g_bc_3d_symbolic.py | solve: [] | other: ['CYLINDER_1D', 'G_bc_cyl_correct', 'G_bc_cyl_legacy_three_bug', 'Ki_n', 'compute_G_bc_cylinder_3d'] | reg: []
PN-PRIMITIVE-ONLY derivations/test_peierls_cylinder_geometry.py | solve: [] | other: ['CYLINDER_1D', 'composite_gl_r'] | reg: []
PN-PRIMITIVE-ONLY derivations/test_peierls_cylinder_knyazev_symbolic.py | solve: [] | other: ['CYLINDER_1D', 'compute_P_esc', 'compute_P_esc_cylinder_3d_mode', 'derive_g_prefactor', 'derive_p_prefactor', 'derive_polar_integral_identity'] | reg: []
PN-PRIMITIVE-ONLY derivations/test_peierls_geometry.py | solve: [] | other: ['CYLINDER_1D', 'CurvilinearGeometry', 'SLAB_POLAR_1D', 'SPHERE_1D'] | reg: []
PN-PRIMITIVE-ONLY derivations/test_peierls_greens_function_cylinder_solver.py | solve: [] | other: ['compute_P_ss_cylinder', 'compute_T_specular_cylinder_3d'] | reg: []
PN-PRIMITIVE-ONLY derivations/test_peierls_rank_n_primitives.py | solve: [] | other: ['CYLINDER_1D', 'SPHERE_1D', 'composite_gl_r', 'compute_G_bc', 'compute_G_bc_mode', 'compute_P_esc', 'compute_P_esc_mode'] | reg: []
PN-PRIMITIVE-ONLY derivations/test_peierls_slab_legacy_aggregate.py | solve: [] | other: ['SLAB_POLAR_1D', 'composite_gl_r', 'compute_G_bc', 'compute_G_bc_inner', 'compute_G_bc_outer', 'compute_P_esc', 'compute_P_esc_inner', 'compute_P_esc_outer'] | reg: []
PN-PRIMITIVE-ONLY derivations/test_peierls_specular_continuous_mu_symbolic.py | solve: [] | other: ['derive_diagonal_singularity', 'derive_m1_equivalence', 'derive_multi_bounce_factor', 'derive_vacuum_reduction'] | reg: []
PN-PRIMITIVE-ONLY derivations/test_peierls_specular_slab_symbolic.py | solve: [] | other: ['SLAB_POLAR_1D', 'build_M_symbolic', 'build_R_slab_blockdiag', 'compute_G_bc_inner', 'compute_G_bc_outer', 'compute_P_esc_inner', 'compute_P_esc_outer', 'derive_slab_g_outer_n0', 'derive_slab_p_outer_n0'] | reg: []
PN-PRIMITIVE-ONLY derivations/test_peierls_specular_symbolic.py | solve: [] | other: ['build_M_closed_form', 'build_M_symbolic', 'build_R_specular_symbolic', 'reflection_specular'] | reg: []
PN-PRIMITIVE-ONLY derivations/test_peierls_sphere_geometry.py | solve: [] | other: ['GEOMETRY', 'composite_gl_r'] | reg: []
